expa_id,ogv,oge,ogt
9227,Tarapoto,MC Peru,MC Peru
10613,Trujillo,MC Peru,MC Peru
8820,Trujillo,MC Peru,MC Peru
8824,Trujillo,MC Peru,MC Peru
8822,Trujillo,MC Peru,MC Peru
8823,Trujillo,MC Peru,MC Peru
8821,Trujillo,MC Peru,MC Peru
8825,Trujillo,MC Peru,MC Peru
8819,Trujillo,MC Peru,MC Peru
9228,Arequipa,MC Peru,MC Peru
5765,Arequipa,Arequipa,Arequipa
5768,Arequipa,Arequipa,Arequipa
5766,Arequipa,Arequipa,Arequipa
5767,Arequipa,Arequipa,Arequipa
5759,Arequipa,Arequipa,Arequipa
5764,Arequipa,Arequipa,Arequipa
5755,Arequipa,Arequipa,Arequipa
5754,Arequipa,Arequipa,Arequipa
5763,Arequipa,Arequipa,Arequipa
5762,Arequipa,Arequipa,Arequipa
5761,Arequipa,Arequipa,Arequipa
5760,Arequipa,Arequipa,Arequipa
5769,Arequipa,MC Peru,MC Peru
5773,Chiclayo,MC Peru,MC Peru
5772,Chiclayo,MC Peru,MC Peru
5771,Chiclayo,MC Peru,MC Peru
5770,Chiclayo,MC Peru,MC Peru
5889,Cusco,MC Peru,MC Peru
5888,Cusco,MC Peru,MC Peru
5856,Cusco,MC Peru,MC Peru
5874,Cusco,MC Peru,MC Peru
5847,Cusco,MC Peru,MC Peru
5863,Cusco,MC Peru,MC Peru
5881,Cusco,MC Peru,MC Peru
9232,Ica,MC Peru,MC Peru
7656,Huanuco,MC Peru,MC Peru
8862,Huanuco,MC Peru,MC Peru
8863,Huanuco,MC Peru,MC Peru
8816,Huanuco,MC Peru,MC Peru
8818,Huanuco,MC Peru,MC Peru
8817,Huanuco,MC Peru,MC Peru
5906,Ica,MC Peru,MC Peru
5904,Ica,MC Peru,MC Peru
5903,Ica,MC Peru,MC Peru
5902,Ica,MC Peru,MC Peru
5905,Ica,MC Peru,MC Peru
5897,Huancayo,MC Peru,MC Peru
5894,Huancayo,MC Peru,MC Peru
5890,Huancayo,MC Peru,MC Peru
5891,Huancayo,MC Peru,MC Peru
5892,Huancayo,MC Peru,MC Peru
5895,Huancayo,MC Peru,MC Peru
5893,Huancayo,MC Peru,MC Peru
5896,Huancayo,MC Peru,MC Peru
5779,Trujillo,MC Peru,MC Peru
5793,Trujillo,MC Peru,MC Peru
5789,Trujillo,MC Peru,MC Peru
5780,Trujillo,MC Peru,MC Peru
5797,Trujillo,MC Peru,MC Peru
5795,Trujillo,MC Peru,MC Peru
5791,Trujillo,MC Peru,MC Peru
5787,Chiclayo,MC Peru,MC Peru
5782,Chiclayo,MC Peru,MC Peru
5774,Chiclayo,MC Peru,MC Peru
5785,Chiclayo,MC Peru,MC Peru
5786,Chiclayo,MC Peru,MC Peru
5777,Chiclayo,MC Peru,MC Peru
8815,Chiclayo,MC Peru,MC Peru
5775,Chiclayo,MC Peru,MC Peru
5781,Chiclayo,MC Peru,MC Peru
5878,San Marcos,San Marcos,San Marcos
5753,Pacifico,Pacifico,Pacifico
5859,URP,URP,Católica
8844,San Marcos,San Marcos,San Marcos
5857,URP,URP,Católica
5875,San Marcos,San Marcos,San Marcos
5911,Catolica,Catolica,Catolica
5756,Pacifico,Pacifico,Pacifico
5915,Lima,Lima,Lima
5913,Catolica,Catolica,Catolica
5907,Catolica,Catolica,Catolica
5917,Lima,Lima,Lima
8960,Lima,Lima,Lima
5908,Catolica,Catolica,Catolica
8831,Lima,Lima,Lima
8829,Catolica,Catolica,Catolica
5920,Lima,Lima,Lima
8832,URP,URP,Católica
5758,Pacifico,Pacifico,Pacifico
5918,Lima,Lima,Lima
5850,URP,URP,Católica
5887,Pacifico,Pacifico,Pacifico
5914,Lima,Lima,Lima
5884,Pacifico,Pacifico,Pacifico
5909,Catolica,Catolica,Catolica
5910,Catolica,Catolica,Catolica
5919,Lima,Lima,Lima
5871,San Marcos,San Marcos,San Marcos
